,label,text
0,0,jurong point crazy available bugis n great world la e buffet cine amore wat
1,0,ok lar joke wif u oni
2,1,free entry 2 wkly comp win fa cup final tkts 21st 2005 text fa 87121 receive entry questionstd txt ratetc apply 08452810075over18
3,0,u dun early hor u c
4,0,nah think usf live
5,1,freemsg hey darle 3 week word like fun tb ok xxx std chgs send å150 rcv
6,0,brother like speak treat like aids patent
7,0,request ' melle melle oru minnaminunginte nurungu vettam ' set callertune caller press 9 copy friend callertune
8,1,winner value network customer select receivea å900 prize reward claim 09061701461 claim code kl341 valid 12 hour
9,1,mobile 11 month u r entitle update late colour mobile camera free mobile update co free 08002986030
10,0,home soon want talk stuff anymore tonight k cry today
11,1,chance win cash 100 20000 pound txt csh11 send 87575 cost 150pday 6days 16 tsandc apply reply hl 4 info
12,1,urgent win 1 week free membership å100000 prize jackpot txt word claim 81010 tc wwwdbuknet lccltd pobox 4403ldnw1a7rw18
13,0,search right word thank breather promise help grant fulfil promise wonderful blessing time
14,0,date sunday
15,1,xxxmobilemovieclub use credit click wap link txt message click httpwap xxxmobilemovieclubcomnqjkgighjjgcbl
16,0,oh ki'm watch
17,0,eh u remember 2 spell yes v naughty v wet
18,0,fine thatåõs way u feel thatåõs way gota b
19,1,england v macedonia   miss goalsteam news txt ur national team 87077 eg england 87077 trywale scotland 4txtì¼120 poboxox36504w45wq 16
20,0,seriously spell
21,0,iûm try 2 month ha ha joke
22,0,ì pay lar da stock comin
23,0,aft finish lunch str lor ard 3 smth lor u finish ur lunch
24,0,ffffffffff alright way meet soon
25,0,force eat slice hungry tho suck mark worry know sick turn pizza lol
26,0,lol convincing
27,0,catch bus   fry egg   tea eat mom leave dinner   feel love
28,0,amp pack car let know room
29,0,ahhh work vaguely remember feel like lol
30,0,wait clear sure sarcastic x want live
31,0,yeah 2 v apologetic n fall actin like spoil child catch till 2 badly cheer
32,0,k tell
33,0,fear faint housework quick cuppa
34,1,thank subscription ringtone uk mobile charge å5month confirm reply yes reply charge
35,0,yup ok home look timing msg ì xuhui learn 2nd lesson 8
36,0,oops let know roommate
37,0,letter b car
38,0,lor u decide
39,0,hello saturday texte decide tomo try invite
40,0,pls ahead watts want sure great weekend abiola
41,0,forget tell   want   need crave     love sweet arabian steed   mmmmmm   yummy
42,1,07732584351   rodger burn   msg   try reply sms free nokia mobile   free camcorder 08000930705 delivery tomorrow
43,0,
44,0,great hope like man endowed   ltgt   inch
45,0,callsmessagesmisse
46,0,hep b immunisation nigeria
47,0,fair
48,0,yeah hopefully tyler maybe ask bit
49,0,u know stubborn want hospital tell mark weak sucker hospital weak sucker
50,0,think time class
51,0,gram usually run like   ltgt   half eighth smart second gram   ltgt
52,0,k fyi x ride early tomorrow morning crash place tonight
53,0,wow realize embarassed accomodation think like good happy cave sorry sorry offer sorry room embarasse
54,1,sm ac sptv new jersey devil detroit red wing play ice hockey correct incorrect end reply end sptv
55,0,know mallika sherawat yesterday find    lturlgt
56,1,congrat 1 year special cinema pass 2 09061209465 c suprman v matrix3 starwars3 etc 4 free bx420ip45we 150pm miss
57,0,sorry later meeting
58,0,tell reach
59,0,yesgauti sehwag odi series
60,0,pick 1 burger way home pain kill
61,0,ha ha ha good joke girl situation seeker
62,0,check iq
63,0,sorry roommate forever ok come
64,0,ok lar double check wif da hair dresser wun cut v short cut look nice
65,1,value customer pleased advise follow recent review mob award å1500 bonus prize 09066364589
66,0,today song dedicated day song u dedicate send ur valuable frnd rply
67,1,urgent ur award complimentary trip eurodisinc trav acoentry41 å1000 claim txt dis 87121 186å150morefrmmob shracomorsglsuplt10 ls1 3aj
68,1,hear new divorce barbie come ken stuff
69,0,plane month end
70,0,wah lucky man save money hee
71,0,finish class
72,0,hi babe m home wanna xx
73,0,kkwhere youhow perform
74,0,u
75,0,wait machan free
76,0,s cool gentleman treat dignity respect
77,0,like people shy pa
78,0,operate   ltgt  
79,0,look job ta earn
80,0,sorry later
81,0,k ah
82,0,ok way home hi hi
83,0,place man
84,0,yup stop
85,0,later network urgnt sm
86,0,real u yo need 2 ticket jacket multis
87,0,yes start send request pain come bed double coin factory cash nitro
88,0,tonight babe
89,0,ela kanoil download come wen ur free
90,0,yeah donût stand close tho youûll catch
91,0,sorry pain ok meet night spend late afternoon casualty mean y stuff42moro include time sheet sorry
92,0,smile pleasure smile pain smile trouble pour like rain smile sum1 hurt u smile becoz love u smile
93,1,customer service representative 0800 169 6031 10am9pm win guarantee å1000 cash å5000 prize
94,0,plan buy later check lido 530 e afternoon u finish work
95,1,free ringtone wait collect simply text password mix 85069 verify usher britney fml
96,0,watch telugu moviewat abt u
97,0,finish load loan pay
98,0,hi wk ok   hol yes bit run forgot hairdresser appointment need home n shower cause prob uham
99,0,text anymore
100,0,okay ur price long legal wen pick y u ave x ams xx
101,0,look car buy 4the drive test
102,0,request ' melle melle oru minnaminunginte nurungu vettam ' set callertune caller press 9 copy friend callertune
103,0,wow right mean guess boston man change search location nyc change cuz signin page boston
104,0,umma life vava umma love lot dear
105,0,thank lot wish birthday thank birthday truly memorable
106,0,aight hit cash
107,0,ip address test consider computer minecraft server
108,0,know grumpy old people mom like lie play joke
109,0,worry guess busy
110,0,plural noun research
111,0,dinnermsg
112,0,ok wif cos like 2 try new thing scare u dun like mah cos u loud
113,1,gent try contact weekend draw win å1000 prize guarantee 09064012160 claim code k52 valid 12hrs 150ppm
114,0,wa ur openin sentence formal fine juz tt eatin n puttin weighthaha anythin special happen
115,0,enter cabin pa '' happy b'day boss '' feel special askd 4 lunch lunch invite apartment
116,1,winner u specially select 2 receive å1000 4 holiday flight inc speak live operator 2 claim 0871277810910pmin 18
117,0,goodo yes speak friday   eggpotato ratio tortilla need
118,0,hmmmy uncle inform pay school directly pls buy food
119,1,private 2004 account statement 07742676969 786 unredeemed bonus point claim 08719180248 identifier code 45239 expire
120,1,urgent mobile award å2000 bonus caller prize 5903 final try contact u landline 09064019788 box42wr29c 150ppm
121,0,new address applespairsall malarky
122,1,today voda number end 7548 select receive 350 award match 08712300220 quote claim code 4041 standard rate app
123,0,sao mu today 12
124,0,ìï predict wat time ì'll finish buy
125,0,good stuff
126,0,knowyetunde send money send text bother send involve impose place apologise
127,0,room
128,0,hey girl r u hope u r del r bak long time c sum time lucyxx
129,0,kkhow cost
130,0,home
131,0,dear tmorrowpls accomodate
132,0,answer question
133,1,sunshine quiz wkly q win sony dvd player u know country algarve txt ansr 82277 å150 sptyrone
134,1,want 2 lay tonight want real dog location send direct 2 ur mob join uk large dog network bt txte gravel 69888 ec2a 31pmsg150p
135,0,haf msn yijuehotmailcom
136,0,meet
137,0,check room befor activity
138,1,rcv msgs chat svc free hardcore service text 69988 u u age verify yr network   try
139,0,c lazy type forget ì lect pouch like v nice
140,0,k text way
141,0,sir wait mail
142,0,swt think nver tired little thing 4 lovable person cozsomtime little thing occupy d big heart gud ni8
143,0,know pls open
144,0,yes ya dot
145,0,s staff class
146,1,freemsg reply text randy sexy female live local luv hear u netcollex ltd 08700621170150p msg reply stop end
147,0,ummmawill check inour life begin qatar pls pray hard
148,0,ki delete contact
149,0,sindu job birla soft
150,0,wine flow nevere
151,0,yup thk cine cos need 2 2 plaza mah
152,0,ok ur typical reply
153,0,request ' melle melle oru minnaminunginte nurungu vettam ' set callertune caller press 9 copy friend callertune
154,0,dirt floor window shirt open mouth come flow dream world half chore time joy lot tv ill guess like thing exist like rain hail mist time
155,0,aaooooright work
156,0,leave house
157,0,hello love interview today happy good boy think meare miss
158,1,customer service annoncement new year delivery wait 07046744435 arrange delivery
159,1,winner u specially select 2 receive å1000 cash 4 holiday flight inc speak live operator 2 claim 0871277810810
160,0,safe need miss envy real life
161,0,new car house parentsi new job hand
162,0,love excite day spend happy
163,1,pls stop bootydelious 32f invite friend reply yes434 no434 wwwsmsacubootydelious stop send stop frnd 62468
164,1,bangbabe ur order way u receive service msg 2 download ur content u goto wap bangb tv ur mobile internetservice menu
165,0,place ur point e culture module
166,1,urgent try contact weekend draw win å900 prize guarantee 09061701939 claim code s89 valid 12hrs
167,0,hi frnd good way avoid missunderstde wit beloved
168,0,great escape fancy bridge need lager tomo
169,0,yes completely formclark utter waste
170,0,sir need axis bank account bank address
171,0,hmmm thk sure time hop ard ya 4 free abt muz u discuss liao
172,0,time come later
173,0,bloody hell believe forget surname mr   ill u clue spanish begin m
174,0,finish bath goodfine night
175,0,let know money carlos
176,0,u mall
177,0,turn friend stay til   ltgt   feel free ahead smoke   ltgt   worth
178,0,text reply let know log
179,0,hi speak maneesha v like know satisfied experience reply toll free yes
180,0,lift hope offer money need especially end month approach hurt study anyways gr8 weekend
181,0,lol u trust
182,0,ok gentleman treat dignity respect
183,0,guy close
184,0,greatbye
185,0,hello handsome   find job   lazy   work net mummy   boytoy   miss
186,0,haha awesome minute
187,1,customer service representative freephone 0808 145 4742 9am11pm win guarantee å1000 cash å5000 prize
188,0,xmas radio times
189,0,jus reach home bathe sis net tell u finish k
190,1,unique find 30th august wwwareyouuniquecouk
191,0,sorry join league people touch mean great deal friend time great personal cost great week
