,label,text
0,0,go until jurong point crazy available only in bugis n great world la e buffet cine there get amore wat
1,0,ok lar joke wif u oni
2,1,free entry in 2 a wkly comp to win fa cup final tkts 21st may 2005 text fa to 87121 to receive entry questionstd txt ratetc 's apply 08452810075over18 's
3,0,u dun say so early hor u c already then say
4,0,nah I do not think he go to usf he live around here though
5,1,freemsg hey there darle it be be 3 week 's now and no word back I would like some fun you up for it still tb ok xxx std chgs to send å150 to rcv
6,0,even my brother be not like to speak with I they treat I like aids patent
7,0,as per your request ' melle melle oru minnaminunginte nurungu vettam ' have be set as your callertune for all caller press 9 to copy your friend callertune
8,1,winner as a value network customer you have be select to receivea å900 prize reward to claim call 09061701461 claim code kl341 valid 12 hour only
9,1,have your mobile 11 month or more u r entitle to update to the late colour mobile with camera for free call the mobile update co free on 08002986030
10,0,I be go to be home soon and I do not want to talk about this stuff anymore tonight k I have cry enough today
11,1,six chance to win cash from 100 to 20000 pound txt csh11 and send to 87575 cost 150pday 6days 16 tsandc apply reply hl 4 info
12,1,urgent you have win a 1 week free membership in our å100000 prize jackpot txt the word claim to no 81010 tc wwwdbuknet lccltd pobox 4403ldnw1a7rw18
13,0,I have be search for the right word to thank you for this breather I promise I will not take your help for grant and will fulfil my promise you have be wonderful and a blessing at all time
14,0,I have a date on sunday with will
15,1,xxxmobilemovieclub to use your credit click the wap link in the next txt message or click here httpwap xxxmobilemovieclubcomnqjkgighjjgcbl
16,0,oh ki'm watch here
17,0,eh u remember how 2 spell his name yes I do he v naughty make until I v wet
18,0,fine if thatåõs the way u feel thatåõs the way its gota b
19,1,england v macedonia   do not miss the goalsteam news txt ur national team to 87077 eg england to 87077 trywale scotland 4txtì¼120 poboxox36504w45wq 16
20,0,be that seriously how you spell his name
21,0,iûm go to try for 2 month ha ha only joke
22,0,so ì pay first lar then when be da stock comin
23,0,aft I finish my lunch then I go str down lor ard 3 smth lor u finish ur lunch already
24,0,ffffffffff alright no way I can meet up with you soon
25,0,just force myself to eat a slice I be really not hungry tho this suck mark be get worry he know I be sick when I turn down pizza lol
26,0,lol your always so convincing
27,0,do you catch the bus   be you fry an egg   do you make a tea be you eat your mom 's leave over dinner   do you feel my love
28,0,I be back amp we be pack the car now I will let you know if there be room
29,0,ahhh work I vaguely remember that what do it feel like lol
30,0,wait that be still not all that clear be you not sure about I be sarcastic or that that be why x do not want to live with we
31,0,yeah he get in at 2 and be v apologetic n have fall out and she be actin like spoil child and he get catch up in that till 2 but we will not go there not do too badly cheer you
32,0,k tell I anything about you
33,0,for fear of faint with the of all that housework you just do quick have a cuppa
34,1,thank for your subscription to ringtone uk your mobile will be charge å5month please confirm by reply yes or no if you reply no you will not be charge
35,0,yup ok I go home look at the timing then I msg ì again xuhui go to learn on 2nd may too but her lesson be at 8 am
36,0,oops I will let you know when my roommate 's do
37,0,I see the letter b on my car
38,0,anything lor u decide
39,0,hello how be you and how do saturday go I be just texte to see if you would decide to do anything tomo not that I be try to invite myself or anything
40,0,pls go ahead with watts I just want to be sure do have a great weekend abiola
41,0,do I forget to tell you   I want you   I need you I crave you   but most of all   I love you my sweet arabian steed   mmmmmm   yummy
42,1,07732584351   rodger burn   msg   we try to call you re your reply to our sms for a free nokia mobile   free camcorder please call now 08000930705 for delivery tomorrow
43,0,who be you see
44,0,great I hope you like your man well endowed I be   ltgt   inch
45,0,no callsmessagesmisse call
46,0,do not you get hep b immunisation in nigeria
47,0,fair enough anything go on
48,0,yeah hopefully if tyler can not do it I could maybe ask around a bit
49,0,u do not know how stubborn I be I do not even want to go to the hospital I keep tell mark I be not a weak sucker hospital be for weak sucker
50,0,what you think about I first time you see I in class
51,0,a gram usually run like   ltgt   a half eighth be smart though and get you almost a whole second gram for   ltgt
52,0,k fyi x have a ride early tomorrow morning but he be crash at our place tonight
53,0,wow I never realize that you be so embarassed by your accomodation I think you like it since I be do the good I could and you always seem so happy about the cave I be sorry I do not and do not have more to give I be sorry I offer I be sorry your room be so embarasse
54,1,sm ac sptv the new jersey devil and the detroit red wing play ice hockey correct or incorrect end reply end sptv
55,0,do you know what mallika sherawat do yesterday find out now    lturlgt
56,1,congrat 1 year special cinema pass for 2 be yours call 09061209465 now c suprman v matrix3 starwars3 etc all 4 free bx420ip45we 150pm do not miss out
57,0,sorry I will call later in meeting
58,0,tell where you reach
59,0,yesgauti and sehwag out of odi series
60,0,your go to have to pick up a 1 burger for yourself on your way home I can not even move pain be kill I
61,0,ha ha ha good joke girl be situation seeker
62,0,its a part of check iq
63,0,sorry my roommate take forever it ok if I come by now
64,0,ok lar I double check wif da hair dresser already he say wun cut v short he say will cut until I look nice
65,1,as a value customer I be pleased to advise you that follow recent review of your mob no you be award with a å1500 bonus prize call 09066364589
66,0,today be song dedicated day which song will u dedicate for I send this to all ur valuable frnd but first rply I
67,1,urgent ur award a complimentary trip to eurodisinc trav acoentry41 or å1000 to claim txt dis to 87121 186å150morefrmmob shracomorsglsuplt10 ls1 3aj
68,1,do you hear about the new divorce barbie it come with all of ken 's stuff
69,0,I plane to give on this month end
70,0,wah lucky man then can save money hee
71,0,finish class where be you
72,0,hi babe I m at home now wanna do something xx
73,0,kkwhere be youhow do you perform
74,0,u can call I now
75,0,I be wait machan call I once you free
76,0,that s cool I be a gentleman and will treat you with dignity and respect
77,0,I like you people very much but be very shy pa
78,0,do not operate after   ltgt   or what
79,0,its not the same here still look for a job how much do ta 's earn there
80,0,sorry I will call later
81,0,k do you call I just now ah
82,0,ok I be on the way to home hi hi
83,0,you will be in the place of that man
84,0,yup next stop
85,0,I call you later do not have network if urgnt sm I
86,0,for real when u get on yo I only need 2 more ticket and one more jacket and I be do I already use all my multis
87,0,yes I start to send request to make it but pain come back so I be back in bed double coin at the factory too I get to cash in all my nitro
88,0,I be really not up to it still tonight babe
89,0,ela kanoil download come wen ur free
90,0,yeah do donût stand to close tho youûll catch something
91,0,sorry to be a pain be it ok if we meet another night I spend late afternoon in casualty and that mean I have not do any of y stuff42moro and that include all my time sheet and that sorry
92,0,smile in pleasure smile in pain smile when trouble pour like rain smile when sum1 hurt u smile becoz someone still love to see u smile
93,1,please call our customer service representative on 0800 169 6031 between 10am9pm as you have win a guarantee å1000 cash or å5000 prize
94,0,have not plan to buy later I check already lido only get 530 show in e afternoon u finish work already
95,1,your free ringtone be wait to be collect simply text the password mix to 85069 to verify get usher and britney fml
96,0,watch telugu moviewat abt u
97,0,I see when we finish we have load of loan to pay
98,0,hi wk be ok   on hol now yes on for a bit of a run forgot that I have hairdresser appointment at four so need to get home n shower beforehand do that cause prob for uham
99,0,please do not text I anymore I have nothing else to say
100,0,okay name ur price as long as its legal wen can I pick they up y u ave x ams xx
101,0,I be still look for a car to buy and have not go 4the drive test yet
102,0,as per your request ' melle melle oru minnaminunginte nurungu vettam ' have be set as your callertune for all caller press 9 to copy your friend callertune
103,0,wow you be right I do not mean to do that I guess once I give up on boston man and change my search location to nyc something change cuz on my signin page it still say boston
104,0,umma my life and vava umma love you lot dear
105,0,thank a lot for your wish on my birthday thank you for make my birthday truly memorable
106,0,aight I will hit you up when I get some cash
107,0,how would my ip address test that consider my computer be not a minecraft server
108,0,I know grumpy old people my mom be like you well not be lie then again I be always the one to play joke
109,0,do not worry I guess he be busy
110,0,what be the plural of the noun research
111,0,go for dinnermsg you after
112,0,I be ok wif it cos I like 2 try new thing but I scare u dun like mah cos u say not too loud
113,1,gent we be try to contact you last weekend draw show that you win a å1000 prize guarantee call 09064012160 claim code k52 valid 12hrs only 150ppm
114,0,wa ur openin sentence very formal anyway I be fine too juz tt I be eatin too much n puttin on weighthaha so anythin special happen
115,0,as I enter my cabin my pa say '' happy b'day boss '' I feel special she askd I 4 lunch after lunch she invite I to her apartment we go there
116,1,you be a winner u have be specially select 2 receive å1000 or a 4 holiday flight inc speak to a live operator 2 claim 0871277810910pmin 18
117,0,goodo yes we must speak friday   eggpotato ratio for tortilla need
118,0,hmmmy uncle just inform I that he be pay the school directly so pls buy food
119,1,private your 2004 account statement for 07742676969 show 786 unredeemed bonus point to claim call 08719180248 identifier code 45239 expire
120,1,urgent your mobile no be award å2000 bonus caller prize on 5903 this be our final try to contact u call from landline 09064019788 box42wr29c 150ppm
121,0,here be my new address applespairsall that malarky
122,1,today voda number end 7548 be select to receive a 350 award if you have a match please call 08712300220 quote claim code 4041 standard rate app
123,0,I be go to sao mu today will be do only at 12
124,0,ìï predict wat time ì'll finish buy
125,0,good stuff will do
126,0,just so that you knowyetunde have not send money yet I just send she a text not to bother send so its over you do not have to involve yourself in anything I should not have impose anything on you in the first place so for that I apologise
127,0,be you there in room
128,0,hey girl how r u hope u r well I an del r bak again long time no c give I a call sum time from lucyxx
129,0,kkhow much do it cost
130,0,I be home
131,0,dear will call tmorrowpls accomodate
132,0,first answer my question
133,1,sunshine quiz wkly q win a top sony dvd player if u know which country the algarve be in txt ansr to 82277 å150 sptyrone
134,1,want 2 get lay tonight want real dog location send direct 2 ur mob join the uk 's large dog network bt txte gravel to 69888 not ec2a 31pmsg150p
135,0,I only haf msn it be yijuehotmailcom
136,0,he be there you call and meet he
137,0,no no I will check all room befor activity
138,1,you will not rcv any more msgs from the chat svc for free hardcore service text go to 69988 if u get nothing u must age verify with yr network   try again
139,0,get c I lazy to type I forget ì in lect I see a pouch but like not v nice
140,0,k text I when you be on the way
141,0,sir wait for your mail
142,0,a swt think nver get tired of do little thing 4 lovable person cozsomtime those little thing occupy d big part in their heart gud ni8
143,0,I know you be can you pls open the back
144,0,yes see ya not on the dot
145,0,what s the staff name who be take class for we
146,1,freemsg why have not you reply to my text I be randy sexy female and live local luv to hear from u netcollex ltd 08700621170150p per msg reply stop to end
147,0,ummmawill call after check inour life will begin from qatar so pls pray very hard
148,0,ki delete my contact that why
149,0,sindu get job in birla soft
150,0,the wine be flow and I be I have nevere
151,0,yup I thk cine be well cos no need 2 go down 2 plaza mah
152,0,ok ur typical reply
153,0,as per your request ' melle melle oru minnaminunginte nurungu vettam ' have be set as your callertune for all caller press 9 to copy your friend callertune
154,0,you be everywhere dirt on the floor the window even on my shirt and sometimes when I open my mouth you be all that come flow out I dream of my world without you then half my chore be out too a time of joy for I lot of tv show ill see but I guess like all thing you just must exist like rain hail and mist and when my time here be do you and I become one
155,0,aaooooright be you at work
156,0,I be leave my house now
157,0,hello my love what be you do do you get to that interview today be you you happy be you be a good boy do you think of meare you miss I
158,1,customer service annoncement you have a new year delivery wait for you please call 07046744435 now to arrange delivery
159,1,you be a winner u have be specially select 2 receive å1000 cash or a 4 holiday flight inc speak to a live operator 2 claim 0871277810810
160,0,keep yourself safe for I because I need you and I miss you already and I envy everyone that see be you in real life
161,0,new car and house for my parentsi have only new job in hand
162,0,I be so in love with you I be excite each day I spend with you you make I so happy
163,1,pls stop bootydelious 32f be invite you to be her friend reply yes434 or no434 see her wwwsmsacubootydelious stop send stop frnd to 62468
164,1,bangbabe ur order be on the way u should receive a service msg 2 download ur content if u do not goto wap bangb tv on ur mobile internetservice menu
165,0,I place all ur point on e culture module already
166,1,urgent we be try to contact you last weekend draw show that you have win a å900 prize guarantee call 09061701939 claim code s89 valid 12hrs only
167,0,hi frnd which be good way to avoid missunderstde wit our beloved one 's
168,0,great escape I fancy the bridge but need her lager see you tomo
169,0,yes it completely in out of formclark also utter waste
170,0,sir I need axis bank account no and bank address
171,0,hmmm thk sure get time to hop ard ya can go 4 free abt muz call u to discuss liao
172,0,what time you come down later
173,0,bloody hell can not believe you forget my surname mr   ill give u a clue its spanish and begin with m
174,0,well I be go to finish my bath now have a goodfine night
175,0,let I know when you have get the money so carlos can make the call
176,0,u still go to the mall
177,0,turn out my friend be stay for the whole show and will not be back til   ltgt   so feel free to go ahead and smoke that   ltgt   worth
178,0,text she if she do not reply let I know so I can have her log in
179,0,hi you just speak to maneesha v we would like to know if you be satisfied with the experience reply toll free with yes or no
180,0,you lift my hope with the offer of money I be in need especially when the end of the month approach and it hurt my study anyways have a gr8 weekend
181,0,lol no u can trust I
