,label,text
0,0,"jurong point , crazy .. available bugis n great world la e buffet ... Cine amore wat ..."
1,0,ok lar ... joke wif u oni ...
2,1,free entry 2 wkly comp win FA Cup final tkts 21st May 2005 . text FA 87121 receive entry question(std txt rate)T&C apply 08452810075over18
3,0,u dun early hor ... u c ...
4,0,"nah I think usf , live"
5,1,"FreeMsg hey darle 3 week word ! I like fun ? tb ok ! XxX std chgs send , å£1.50 rcv"
6,0,brother like speak . treat like aids patent .
7,0,request ' Melle Melle ( Oru Minnaminunginte Nurungu Vettam ) ' set callertune Callers . Press * 9 copy friend Callertune
8,1,WINNER ! ! value network customer select receivea å£900 prize reward ! claim 09061701461 . claim code KL341 . valid 12 hour .
9,1,mobile 11 month ? u r entitle update late colour mobile camera Free ! Mobile Update Co free 08002986030
10,0,"I home soon want talk stuff anymore tonight , k ? I cry today ."
11,1,"chance win cash ! 100 20,000 pound txt > CSH11 send 87575 . cost 150p / day , 6days , 16 + TsandCs apply Reply HL 4 info"
12,1,"urgent ! win 1 week free membership å£100,000 Prize Jackpot ! txt word : claim : 81010 T&C www.dbuk.net LCCLTD POBOX 4403ldnw1a7rw18"
13,0,I search right word thank breather . I promise help grant fulfil promise . wonderful blessing time .
14,0,I date SUNDAY WILL ! !
15,1,"xxxmobilemovieclub : use credit , click WAP link txt message click > > http://wap . xxxmobilemovieclub.com?n=qjkgighjjgcbl"
16,0,oh k ... i'm watch :)
17,0,eh u remember 2 spell ... yes . v naughty v wet .
18,0,fine thatåõ way u feel . thatåõs way gota b
19,1,"England v Macedonia - miss goal / team news . txt ur national team 87077 eg ENGLAND 87077 Try : WALES , SCOTLAND 4txt / Ì¼1.20 poboxox36504w45wq 16 +"
20,0,seriously spell ?
21,0,I‰Û÷m try 2 month ha ha joke
22,0,Ì _ pay lar ... da stock comin ...
23,0,aft finish lunch str lor . ard 3 smth lor . U finish ur lunch ?
24,0,ffffffffff . alright way I meet soon ?
25,0,force eat slice . I hungry tho . suck . Mark worried . know I sick I turn pizza . lol
26,0,lol convincing .
27,0,catch bus ? fry egg ? tea ? eat mom leave dinner ? feel love ?
28,0,"I & amp ; pack car , I let know room"
29,0,ahhh . work . I vaguely remember ! feel like ? lol
30,0,"wait clear , sure sarcastic x want live"
31,0,yeah 2 v apologetic . n fall actin like spoil child catch . till 2 ! ! badly cheer . ?
32,0,K tell .
33,0,fear faint housework ? Quick cuppa
34,1,thank subscription Ringtone UK mobile charge å£5 / month confirm reply YES NO . reply charge
35,0,yup ... ok home look timing msg Ì _ ... Xuhui learn 2nd lesson 8
36,0,"oop , I let know roommate"
37,0,I letter b car
38,0,lor ... u decide ...
39,0,hello ! saturday ? I texte decide tomo . try invite !
40,0,pls ahead watt . I want sure . great weekend . Abiola
41,0,"I forget tell ? I want , I need , I crave ... ... I love sweet arabian steed ... mmmmmm ... Yummy"
42,1,07732584351 - Rodger Burns - MSG = try reply sms free nokia mobile + free camcorder . 08000930705 delivery tomorrow
43,0,?
44,0,great ! I hope like man endow . I   & lt;#&gt ;   inch ...
45,0,.. message .. miss
46,0,hep b immunisation nigeria .
47,0,"fair , ?"
48,0,"yeah hopefully , tyler I maybe ask bit"
49,0,u know stubborn I . I want hospital . I tell Mark I weak sucker . hospital weak sucker .
50,0,think . time class .
51,0,"gram usually run like   & lt;#&gt ; , half eighth smart second gram   & lt;#&gt ;"
52,0,k fyi x ride early tomorrow morning crash place tonight
53,0,"wow . I realize embarassed accomodation . I think like , good happy \the cave\ "" . I sorry I . I sorry offer . I sorry room embarassing . """
54,1,SMS . ac Sptv : New Jersey Devils Detroit Red Wings play Ice Hockey . correct Incorrect ? end ? Reply END SPTV
55,0,know Mallika Sherawat yesterday ? find @   & lt;URL&gt ;
56,1,"congrat ! 1 year special cinema pass 2 . 09061209465 ! C Suprman V , Matrix3 , StarWars3 , etc 4 free ! bx420 - ip4 - 5we . 150pm . miss !"
57,0,"sorry , I later meeting ."
58,0,tell reach
59,0,yes .. gauti sehwag odi series .
60,0,pick $ 1 burger way home . I . pain kill .
61,0,ha ha ha good joke . girl situation seeker .
62,0,check iq
63,0,"sorry roommate forever , ok I come ?"
64,0,ok lar double check wif da hair dresser wun cut v short . cut look nice .
65,1,"value customer , I pleased advise follow recent review Mob . award å£1500 Bonus Prize , 09066364589"
66,0,"today \song dedicated day .. \ "" song u dedicate ? send ur valuable frnd rply ... """
67,1,"Urgent ur award complimentary trip EuroDisinc Trav , Aco&Entry41 å£1000 . claim txt DIS 87121 18 + 6*å£1.50(morefrmmob . ShrAcomOrSglSuplt)10 , LS1 3aj"
68,1,"hear new \divorce Barbie\ "" ? come Ken stuff ! """
69,0,I plane month end .
70,0,Wah lucky man ... save money ... hee ...
71,0,finished class .
72,0,HI BABE IM HOME WANNA ? xx
73,0,K .. k:)where you?how perform ?
74,0,u ...
75,0,I wait machan . free .
76,0,s cool . gentleman treat dignity respect .
77,0,I like people :) shy pa .
78,0,operate   & lt;#&gt ;  
79,0,. look job . Ta earn .
80,0,"sorry , I later"
81,0,K. ah ?
82,0,ok way home hi hi
83,0,place man
84,0,yup stop .
85,0,"I later , network . urgnt , sm ."
86,0,real u yo ? I need 2 ticket jacket I . I multis .
87,0,yes I start send request pain come I bed . double coin factory . I cash nitro .
88,0,I tonight babe
89,0,"Ela kano . ,il download , come wen ur free .."
90,0,yeah ! don‰û÷t stand close tho- you‰Û÷ll catch !
91,0,sorry pain . ok meet night ? I spend late afternoon casualty mean y stuff42moro include time sheet . sorry .
92,0,smile Pleasure Smile Pain Smile trouble pour like Rain Smile sum1 hurt U Smile becoz love u smiling ! !
93,1,customer service representative 0800 169 6031 10am-9pm WON guarantee å£1000 cash å£5000 prize !
94,0,plan buy later . I check lido 530 e afternoon . U finish work ?
95,1,"free ringtone wait collect . simply text password \MIX\ "" 85069 verify . usher Britney . FML"
96,0,watch telugu movie .. wat abt u ?
97,0,. finish load loan pay
98,0,"hi . wk ok - hol ! yes bit run . forgot hairdresser appointment need home n shower . cause prob u?\ ""  ham """
99,0,text anymore . I .
100,0,okay ur price long legal ! Wen I pick ? Y u ave x ams xx
101,0,I look car buy . 4the drive test .
102,0,request ' Melle Melle ( Oru Minnaminunginte Nurungu Vettam ) ' set callertune Callers . Press * 9 copy friend Callertune
103,0,"wow . right ! I mean . I guess boston man change search location nyc , change . cuz signin page boston ."
104,0,Umma life vava umma love lot dear
105,0,thank lot wish birthday . thank birthday truly memorable .
106,0,"aight , I hit I cash"
107,0,ip address test consider computer minecraft server
108,0,I know ! grumpy old people . mom like lie . I play joke ...
109,0,worry . I guess busy .
110,0,plural noun research ?
111,0,dinner.msg .
112,0,I ok wif cos like 2 try new thing . scare u dun like mah . cos u loud .
113,1,GENT ! try contact . weekend draw win å£1000 prize guarantee . 09064012160 . claim Code K52 . valid 12hrs . 150ppm
114,0,"wa , ur openin sentence formal ... , fine , juz tt eatin n puttin weight ... haha ... anythin special happen ?"
115,0,"I enter cabin PA , '' Happy B'day Boss ! ! '' . I feel special . askd 4 lunch . lunch invite apartment . ."
116,1,winner u specially select 2 receive å£1000 4 * holiday ( flight inc ) speak live operator 2 claim 0871277810910p / min ( 18 + )
117,0,Goodo ! yes speak friday - egg - potato ratio tortilla need !
118,0,hmm ... uncle inform pay school directly . pls buy food .
119,1,private ! 2004 Account Statement 07742676969 786 unredeemed Bonus Points . claim 08719180248 Identifier Code : 45239 expire
120,1,"URGENT ! Mobile No . award å£2000 Bonus Caller Prize 5/9/03 final try contact u ! Landline 09064019788 BOX42WR29C , 150PPM"
121,0,new address -apples&pairs&all malarky
122,1,today Voda number end 7548 select receive $ 350 award . match 08712300220 quote claim code 4041 standard rate app
123,0,I sao mu today . 12
124,0,ÌÏ predict wat time ì_'ll finish buying ?
125,0,"good stuff , ."
126,0,"know , yetunde send money . I send text bother send . , involve . I impose place , apologise ."
127,0,room .
128,0,HEY GIRL . r u ? hope U r I DEL R BAK ! long TIME c ! I sum TIME LUCYxx
129,0,K .. k:)how cost ?
130,0,I home .
131,0,"Dear , tmorrow.pls accomodate ."
132,0,answer question .
133,1,Sunshine Quiz Wkly Q ! win Sony DVD player u know country Algarve ? txt ansr 82277 . å£1.50 SP : tyrone
134,1,want 2 lay tonight ? want real dog location send direct 2 ur mob ? join UK large Dogging Network bt txte GRAVEL 69888 ! nt . ec2a . 31p.msg@150p
135,0,I haf msn . yijue@hotmail.com
136,0,. meet
137,0,. I check room befor activity
138,1,rcv msgs chat svc . free Hardcore service text GO : 69988 u u Age verify yr network & try
139,0,Got c ... I lazy type ... I forget Ì _ lect ... I pouch like v nice ...
140,0,"K , text way"
141,0,"Sir , wait mail ."
142,0,"swt think : \nver tired little thing 4 lovable person .. \ "" Coz .. somtime little thing occupy d big Hearts .. Gud ni8 """
143,0,I know . pls open ?
144,0,yes ya dot
145,0,s staff class ?
146,1,"FreeMsg reply text ? I Randy , sexy , female live local . Luv hear u. Netcollex Ltd 08700621170150p msg reply stop end"
147,0,ummma.will check in.our life begin qatar pls pray hard .
148,0,K .. delete contact ?
